VariableName,VarUnits,SampleMedium,DataType,ValueType,TimeSupport,TimeUnits,Speciation,SiteName,SiteCode,Latitude,Longitude,GeneralCategory,NoDataValue
Precipitation,millimeter,Precipitation,Incremental,Field Observation,1,day,Not Applicable,"IOWA CITY MUNI AP             ",GHCN:USW00014937,41.6328,-91.5431,Climate,-9999
UTCTimeStamp,LocalTimestamp,UTCOffset,Value,MethodDescription,QualityControlLevel,ValueAccuracy,CensorCode,OffsetValue,OffsetDescription,OffsetUnit,Qualifier,QualifierDescription,SourceDescription,SourceLink,Citation
1948-02-10 00:00:00,1948-02-10 00:00:00,0,1.3,No method specified,Quality controlled data,0,nc,0,,,__X1,unknown,unknown,unknown,unknown
1948-02-11 00:00:00,1948-02-11 00:00:00,0,0.5,No method specified,Quality controlled data,0,nc,0,,,__X1,unknown,unknown,unknown,unknown
1948-02-12 00:00:00,1948-02-12 00:00:00,0,0.3,No method specified,Quality controlled data,0,nc,0,,,__X1,unknown,unknown,unknown,unknown
1948-02-13 00:00:00,1948-02-13 00:00:00,0,2,No method specified,Quality controlled data,0,nc,0,,,__X1,unknown,unknown,unknown,unknown
1948-02-14 00:00:00,1948-02-14 00:00:00,0,0,No method specified,Quality controlled data,0,nc,0,,,__X1,unknown,unknown,unknown,unknown
1948-02-15 00:00:00,1948-02-15 00:00:00,0,0,No method specified,Quality controlled data,0,nc,0,,,__X1,unknown,unknown,unknown,unknown
1948-02-16 00:00:00,1948-02-16 00:00:00,0,0,No method specified,Quality controlled data,0,nc,0,,,__X1,unknown,unknown,unknown,unknown
1948-02-17 00:00:00,1948-02-17 00:00:00,0,0,No method specified,Quality controlled data,0,nc,0,,,__X1,unknown,unknown,unknown,unknown
1948-02-18 00:00:00,1948-02-18 00:00:00,0,0,No method specified,Quality controlled data,0,nc,0,,,__X1,unknown,unknown,unknown,unknown
1948-02-19 00:00:00,1948-02-19 00:00:00,0,0,No method specified,Quality controlled data,0,nc,0,,,__X1,unknown,unknown,unknown,unknown
1948-02-20 00:00:00,1948-02-20 00:00:00,0,0,No method specified,Quality controlled data,0,nc,0,,,__X1,unknown,unknown,unknown,unknown
1948-02-21 00:00:00,1948-02-21 00:00:00,0,0,No method specified,Quality controlled data,0,nc,0,,,__X1,unknown,unknown,unknown,unknown
1948-02-22 00:00:00,1948-02-22 00:00:00,0,0,No method specified,Quality controlled data,0,nc,0,,,__X1,unknown,unknown,unknown,unknown
1948-02-23 00:00:00,1948-02-23 00:00:00,0,0,No method specified,Quality controlled data,0,nc,0,,,T_X1,unknown,unknown,unknown,unknown
1948-02-24 00:00:00,1948-02-24 00:00:00,0,10.2,No method specified,Quality controlled data,0,nc,0,,,__X1,unknown,unknown,unknown,unknown
1948-02-25 00:00:00,1948-02-25 00:00:00,0,0,No method specified,Quality controlled data,0,nc,0,,,__X1,unknown,unknown,unknown,unknown
1948-02-26 00:00:00,1948-02-26 00:00:00,0,0,No method specified,Quality controlled data,0,nc,0,,,__X1,unknown,unknown,unknown,unknown
1948-02-27 00:00:00,1948-02-27 00:00:00,0,42.2,No method specified,Quality controlled data,0,nc,0,,,__X1,unknown,unknown,unknown,unknown
1948-02-28 00:00:00,1948-02-28 00:00:00,0,2,No method specified,Quality controlled data,0,nc,0,,,__X1,unknown,unknown,unknown,unknown
1948-02-29 00:00:00,1948-02-29 00:00:00,0,0,No method specified,Quality controlled data,0,nc,0,,,T_X1,unknown,unknown,unknown,unknown
1948-03-01 00:00:00,1948-03-01 00:00:00,0,19.6,No method specified,Quality controlled data,0,nc,0,,,__X1,unknown,unknown,unknown,unknown
1948-03-02 00:00:00,1948-03-02 00:00:00,0,9.7,No method specified,Quality controlled data,0,nc,0,,,__X1,unknown,unknown,unknown,unknown
1948-03-03 00:00:00,1948-03-03 00:00:00,0,0.5,No method specified,Quality controlled data,0,nc,0,,,__X1,unknown,unknown,unknown,unknown
1948-03-04 00:00:00,1948-03-04 00:00:00,0,0,No method specified,Quality controlled data,0,nc,0,,,__X1,unknown,unknown,unknown,unknown
1948-03-05 00:00:00,1948-03-05 00:00:00,0,0,No method specified,Quality controlled data,0,nc,0,,,__X1,unknown,unknown,unknown,unknown
1948-03-06 00:00:00,1948-03-06 00:00:00,0,16.5,No method specified,Quality controlled data,0,nc,0,,,__X1,unknown,unknown,unknown,unknown
1948-03-07 00:00:00,1948-03-07 00:00:00,0,0.3,No method specified,Quality controlled data,0,nc,0,,,__X1,unknown,unknown,unknown,unknown
1948-03-08 00:00:00,1948-03-08 00:00:00,0,0,No method specified,Quality controlled data,0,nc,0,,,T_X1,unknown,unknown,unknown,unknown
1948-03-09 00:00:00,1948-03-09 00:00:00,0,0,No method specified,Quality controlled data,0,nc,0,,,__X1,unknown,unknown,unknown,unknown
1948-03-10 00:00:00,1948-03-10 00:00:00,0,0,No method specified,Quality controlled data,0,nc,0,,,__X1,unknown,unknown,unknown,unknown
1948-03-11 00:00:00,1948-03-11 00:00:00,0,0,No method specified,Quality controlled data,0,nc,0,,,__X1,unknown,unknown,unknown,unknown
1948-03-12 00:00:00,1948-03-12 00:00:00,0,0,No method specified,Quality controlled data,0,nc,0,,,__X1,unknown,unknown,unknown,unknown
1948-03-13 00:00:00,1948-03-13 00:00:00,0,0,No method specified,Quality controlled data,0,nc,0,,,__X1,unknown,unknown,unknown,unknown
1948-03-14 00:00:00,1948-03-14 00:00:00,0,0,No method specified,Quality controlled data,0,nc,0,,,__X1,unknown,unknown,unknown,unknown
1948-03-15 00:00:00,1948-03-15 00:00:00,0,0,No method specified,Quality controlled data,0,nc,0,,,__X1,unknown,unknown,unknown,unknown
